run,bus_id,station,time,duration,direction
1,7,X03,36133,45,0
1,0,X18,36137,49,0
1,12,X08,36139,59,1
1,1,X02,36196,54,1
1,15,X14,36201,56,1
1,9,X05,36219,44,0
1,11,X08,36239,52,0
1,12,X09,36252,59,1
1,8,X17,36285,47,1
1,1,X03,36303,41,1
1,15,X15,36318,59,1
1,9,X04,36336,51,0
1,14,X07,36357,48,1
1,12,X10,36385,52,1
1,2,X19,36387,58,0
1,16,X10,36399,44,0
1,15,X16,36445,58,1
1,13,X12,36513,46,0
1,12,X11,36530,59,1
1,14,X09,36586,56,1
1,4,X20,36596,55,0
1,9,X02,36625,59,0
1,0,X14,36657,41,0
1,3,X03,36664,43,1
1,12,X12,36667,58,1
1,10,X16,36687,59,1
1,8,X20,36692,55,1
1,14,X10,36708,55,1
1,15,X18,36745,53,1
1,2,X16,36769,56,0
1,3,X04,36769,41,1
1,16,X07,36823,59,0
1,10,X17,36829,59,1
1,15,X19,36861,54,1
1,13,X09,36873,54,0
1,14,X11,36897,57,1
1,3,X05,36899,57,1
1,0,X11,36988,55,0
1,10,X18,36999,59,1
1,3,X06,37012,50,1
1,14,X12,37022,49,1
1,4,X16,37087,58,0
1,13,X07,37131,53,0
1,14,X13,37139,57,1
1,3,X07,37147,58,1
1,10,X19,37152,59,1
1,7,X01,37163,59,1
1,4,X15,37198,58,0
1,1,X11,37207,43,1
1,12,X18,37260,59,1
1,13,X06,37265,58,0
1,7,X02,37280,58,1
1,1,X12,37335,56,1
1,4,X14,37339,51,0
1,12,X19,37404,59,1
1,2,X10,37405,56,0
1,13,X05,37406,59,0
1,5,X07,37449,58,1
1,4,X13,37456,50,0
1,8,X19,37468,47,0
1,1,X13,37488,44,1
1,13,X04,37535,57,0
1,12,X20,37542,59,1
1,4,X12,37566,57,0
1,2,X09,37568,58,0
1,5,X08,37575,59,1
1,8,X18,37589,48,0
1,9,X02,37643,45,1
1,13,X03,37659,44,0
1,15,X20,37696,49,0
1,5,X09,37698,56,1
1,2,X08,37712,51,0
1,6,X14,37715,44,0
1,14,X19,37735,57,1
1,9,X03,37746,57,1
1,3,X13,37771,58,1
1,6,X13,37820,49,0
1,15,X19,37834,43,0
1,14,X20,37859,58,1
1,0,X04,37861,46,0
1,8,X16,37867,58,0
1,3,X14,37887,59,1
1,4,X09,37906,51,0
1,7,X08,37907,56,1
1,2,X07,37910,55,0
1,11,X01,37911,57,1
1,15,X18,37947,43,0
1,0,X03,37988,51,0
1,9,X05,37995,48,1
1,3,X15,37997,59,1
1,7,X09,38019,47,1
1,6,X11,38038,58,0
1,10,X20,38043,47,0
1,3,X16,38114,58,1
1,0,X02,38116,57,0
1,2,X05,38131,45,0
1,6,X10,38150,52,0
1,10,X19,38179,49,0
1,4,X07,38198,58,0
1,5,X14,38230,48,1
1,0,X01,38236,53,0
1,16,X01,38267,51,1
1,8,X12,38296,55,0
1,7,X11,38335,50,1
1,5,X15,38339,50,1
1,4,X06,38341,55,0
1,16,X02,38368,56,1
1,2,X02,38445,52,0
1,4,X05,38477,47,0
1,9,X10,38484,56,1
1,8,X10,38525,45,0
1,12,X19,38539,51,0
1,15,X13,38561,49,0
1,2,X01,38567,56,0
